community,area_num,mean_radiance,sum_radiance,min_radiance,max_radiance,std_radiance,ACS Year,"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +",Male 0 to 17,Male 18 to 24,Male 25 to 34,Male 35 to 49,Male 50 to 64,Male 65+,Female 0 to 17,Female 18 to 24,Female 25 to 34,Female 35 to 49,Female 50 to 64,Female 65 +,Total Population,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Other Race,Multiracial,White Not Hispanic or Latino,Hispanic or Latino,Record ID,complaint_count
WEST ELSDON,62.0,96.67682,1836.8596,71.09881,210.51001,32.83463,2023,267,921,788,979,1030,2228,769,1355,1998,1381,1351,2464,933,1286,1632,1670,1134,18201,7800,128,749,688,0,5056,3780,2606,14781,2023_WEST ELSDON,1699
GAGE PARK,63.0,76.45988,2981.9353,60.320118,102.22924,10.6137,2023,1007,2038,1582,1619,1240,4256,2089,2910,3105,2809,2007,4786,2159,2167,3549,2489,2325,34650,13619,1403,536,264,1,13063,5764,995,31985,2023_GAGE PARK,3196
CLEARING,64.0,82.76322,3889.8716,45.950512,185.57106,20.946318,2023,359,997,1002,1677,1913,3350,1088,1920,3146,1993,1381,2561,900,1817,2472,2236,1847,24710,13917,486,479,178,37,4913,4701,8932,14872,2023_CLEARING,2972
WEST LAWN,65.0,82.845375,3893.7327,45.489784,156.1637,20.18477,2023,766,1224,1296,1909,1777,4673,1865,2004,3594,2563,1453,4162,1665,2247,3283,2507,2435,32451,13717,929,585,255,171,10645,6149,3980,27275,2023_WEST LAWN,2610
CHICAGO LAWN,66.0,72.54525,4497.8057,40.997837,111.40733,17.409681,2023,2242,2901,2615,2352,1408,6370,3202,3678,5317,3471,3416,6727,3025,4383,4672,4160,3824,52245,10788,19658,806,272,0,12657,8064,1143,30407,2023_CHICAGO LAWN,6833
WEST ENGLEWOOD,67.0,72.83493,3641.7463,54.813747,103.01151,10.667533,2023,1547,1804,785,932,570,3013,1250,1888,1987,2377,2005,2749,1327,1839,2055,2493,2988,25971,1353,20537,279,83,65,2435,1220,262,4674,2023_WEST ENGLEWOOD,6666
ENGLEWOOD,68.0,72.292336,3686.909,49.523018,111.93559,15.716444,2023,1501,1264,754,705,321,2835,934,1402,1506,2045,1418,2400,1018,1813,1662,2454,1851,21337,619,19500,20,167,0,515,516,276,1114,2023_ENGLEWOOD,6097
GREATER GRAND CROSSING,69.0,78.70986,4407.7524,40.095146,118.48883,20.634886,2023,1853,1764,1121,1172,747,3356,1108,1553,2280,2627,2022,3636,1210,2250,2972,3042,2996,29052,350,27524,184,74,1,531,387,304,756,2023_GREATER GRAND CROSSING,7465
ASHBURN,70.0,69.059,5110.3657,30.368162,103.95793,13.167139,2023,797,1351,1985,3014,2735,5150,1964,2881,4178,4228,2473,5138,2248,2774,4582,4044,3184,42842,11297,18124,697,436,0,7772,4517,3774,19917,2023_ASHBURN,6611
AUBURN GRESHAM,71.0,68.92653,3928.8123,44.198593,84.697044,8.394018,2023,2541,2451,1592,2202,1850,5803,1836,2964,3431,3469,3223,5305,2304,3057,4522,5213,5357,46483,760,43414,119,399,0,993,798,491,1577,2023_AUBURN GRESHAM,9129
BEVERLY,72.0,52.706207,2793.429,31.023407,110.88229,14.743021,2023,160,294,355,1074,3255,2069,856,863,1776,2112,1795,2206,730,1027,1667,2627,2082,19811,11330,6671,9,176,23,276,1327,10974,1389,2023_BEVERLY,3881
WASHINGTON HEIGHTS,73.0,69.10005,3178.6023,51.9725,85.12208,7.913272,2023,918,905,1179,1804,1609,2449,1417,1534,1841,2476,1588,2903,1366,1474,2882,2861,3520,26310,488,25401,87,24,0,94,216,386,248,2023_WASHINGTON HEIGHTS,6240
MOUNT GREENWOOD,74.0,48.17006,1830.4623,24.788244,63.006184,7.4961896,2023,158,289,270,917,2785,2355,1042,933,1931,2268,1018,2521,631,894,2079,1811,1622,19107,17017,344,16,202,0,356,1172,16041,1834,2023_MOUNT GREENWOOD,2580
MORGAN PARK,75.0,59.496456,2796.3335,30.04891,106.07976,15.717386,2023,759,761,571,1180,1767,2608,667,1139,1985,1909,1646,2528,386,1212,2337,2124,2748,21288,6807,12770,53,211,0,335,1112,6485,981,2023_MORGAN PARK,4796
OHARE,76.0,73.89675,15813.904,12.589662,250.45749,54.044678,2023,321,650,1052,1083,1155,1304,601,2010,1852,1799,1060,1565,581,1576,1516,1249,1167,16281,10624,1079,55,2237,0,1110,1176,9418,3013,2023_OHARE,547
EDGEWATER,77.0,79.606575,1830.9513,69.88908,96.22218,6.363197,2023,736,1082,909,1984,3751,2835,2070,5429,6256,4618,3208,2770,2761,5238,4632,3545,4121,47484,28646,5684,87,5724,90,1724,5529,25939,7756,2023_EDGEWATER,2289
